#    ID      VHEL       FLX      FLXC        mI
   7100    4316.0      6.86      8.19     12.78
   7122    1813.0     22.57     22.85     11.84
   7140    1158.0      6.24      6.28     12.78
   7153    2608.0     10.98     11.19     13.58
   7171    6814.0      5.84      6.68     13.37
   7192    4018.0      6.76      7.96     13.00
   7234    2471.0      4.92      6.42     11.30
   7301     706.0      8.52      8.68     13.89
   7315     863.0      3.05      4.04     10.59
   7334    3719.0     15.84     21.13     11.79
   7358    3658.0      6.49      6.58     12.69
   7380    2381.0     15.44     20.86     10.91
   7393    4203.0     11.34     11.99     12.36
   7399     535.0     36.78     37.21     12.29
   7412    1140.0     12.00     18.24     10.15
   7431    1051.0      1.13      1.68     10.78
   7447    1252.0      7.90     10.46     11.60
   7516    5379.0      5.28      6.01     13.55
   7518    1204.0      3.96      5.05     12.42
   7549    1693.0      9.01     11.53     11.41
   7558    6222.0      5.08      6.05     13.20
   7566    1450.0      6.45     10.41     11.10
   7602    1680.0      0.99      1.24     11.19
   7603     644.0     22.43     30.63     12.03
   7617    6970.0     10.17     10.44     13.35
   7644    4219.0      6.18      7.69     12.95
   7689    6214.0      5.52      5.60     13.44
#   7695    -175.0      3.26      4.98     12.11
   7697    2532.0      7.14      8.74     13.90
   7714    1176.0      6.61      9.94     11.72
   7747    2737.0     14.03     14.18     11.75
   7756    1152.0      2.97      3.82     12.01
   7758    1352.0      5.60      7.25     12.58
   7774     522.0     23.56     23.87     13.25
   7794    1041.0      0.58      0.84     10.70
   7810    5608.0      4.81      5.47     13.75
   7845    7736.0      3.78      4.23     14.00
   7848    2498.0      7.43      7.69     12.74
   7849    6117.0      5.88      6.58     13.37
   7852    4728.0     14.94     17.84     12.35
   7870    1721.0     49.12     49.67     10.86
   7873    5024.0      4.87      5.94     12.95
   7901     800.0     61.77     63.00      9.70
   7917    6995.0      3.28      4.82     11.57
   7921    5132.0     13.56     13.73     13.06
   7922    4763.0     11.68     11.96     13.12
   7926    1513.0     44.27     79.95      9.49
   7962    1674.0     14.32     14.69     12.42
   7977    4381.0     14.35     18.70     11.96
   7985     652.0     54.95     55.71     11.04
   7993    4793.0     15.61     15.96     13.65
   8007    1781.0     14.45     17.97     11.67
   8020    1132.0     12.42     12.62     10.91
   8036     920.0     33.75     34.29     12.72
   8054     760.0     77.14     77.71     11.02
   8085    2041.0     14.55     18.88     12.81
   8120    1663.0      9.73      9.97     12.77
   8121    1173.0     10.57     14.49     11.07
   8146     668.0     29.31     29.72     13.11
   8186    7009.0      4.45      5.24     12.75
   8191    4818.0      6.07      7.30     12.79
   8246     808.0      8.40     12.29     13.18
   8250    5273.0      3.68      4.24     13.84
   8255    3366.0      7.63      9.36     12.82
   8270    2610.0     16.10     16.87     10.72
   8280     815.0     11.78     15.63     12.68
   8282    2064.0      8.25      8.40     14.08
   8318    2326.0     11.90     15.34     13.93
   8353    6875.0      3.38      4.00     12.88
   8365    1265.0      6.00      6.05     13.41
   8392    5080.0      6.02      7.19     13.59
   8397    4870.0      2.98      3.40     12.94
   8403     970.0     46.79     47.86     10.99
   8410    2890.0      8.03     10.21     11.86
   8411    2392.0     10.56     13.51     13.03
   8426    4982.0      1.52      1.73     13.97
   8451    5279.0      4.95      6.04     12.62
   8460    6317.0      3.92      4.49     13.57
   8475    6826.0     16.21     28.17     11.27
   8477    4031.0      4.99      8.10     11.07
   8534    5286.0      2.58      2.91     13.95
   8554    5524.0      4.62      5.32     13.87
   8555    7068.0      6.60      7.67     12.06
   8587    2231.0      3.74      4.99     11.92
   8658    2021.0     17.60     17.77     12.29
   8711    1508.0     32.27     32.83     10.90
   8713    4961.0      4.29      5.11     13.36
   8726    2333.0      7.95      8.13     13.55
   8727    1171.0     13.01     23.84     10.85
   8733    2335.0     19.51     19.68     12.88
   8737    1785.0      5.36      5.49     12.12
   8787    4352.0     12.11     14.46     13.16
   8804    2507.0      4.29      4.41     12.69
   8809    3613.0     24.24     25.68     11.12
   8810    2325.0     24.54     24.98     10.23
   8835    2168.0      9.55      9.82     11.78
   8848    6864.0      3.46      4.21     12.05
   8891    5216.0      6.75      7.77     13.06
   8917    3762.0      9.19      9.22     13.58
   8937    2967.0      9.09      9.48     10.93
   8944    6239.0      4.05      4.72     12.24
   8967    5641.0      8.93     10.51     13.04
   8995    1234.0     10.12     13.31     13.10
   9037    5940.0      8.85     10.72     13.01
   9071    1828.0      4.69      4.79     13.43
   9115    2037.0      5.26      5.35     12.54
   9119    1044.0     35.61     36.42     11.38
   9176    1772.0      7.97     10.51     12.87
   9182    4655.0     12.51     16.34     12.46
   9215    1389.0     19.42     20.07     11.93
   9245    1886.0      8.21      8.45     13.66
   9271    2311.0     10.47     10.80     11.46
   9291    2884.0      9.01      9.10     12.06
   9328    1370.0     19.45     19.72     11.25
   9342    4493.0      3.16      3.70     12.50
   9347    2080.0     17.10     17.60     12.60
   9353    1368.0     34.28     79.91     11.00
   9358    1903.0     19.30     20.52     10.24
   9366    2103.0     32.17     56.29     10.03
   9394    1803.0     14.29     18.07     13.49
   9415    5471.0     10.07     10.41     12.15
   9422    3312.0      5.84      5.94     13.13
   9431    2240.0     22.35     22.54     11.99
   9476    3275.0      8.45      8.61     12.04
   9556    2291.0      8.38      8.52     14.31
   9598    5588.0      3.30      3.34     12.69
   9673    5688.0      9.23     12.17     12.52
   9681    5092.0      6.71      6.77     14.99
   9736    3124.0      8.34      8.68     11.70
   9780    5165.0      9.47      9.65     13.43
   9797    3391.0     43.50     44.96     10.89
   9802    5392.0      3.21      3.24     14.44
   9817    5102.0      7.48      7.61     12.07
   9849    3461.0      8.00      8.09     13.80
   9856    2497.0      5.11      5.24     13.73
   9866     426.0      5.15      5.29     11.08
   9873    5626.0      4.68      4.73     13.59
   9896    6463.0      4.64      4.72     12.64
   9901    3167.0      5.27      6.13     13.82
   9926    1958.0     13.80     21.14     10.34
   9935    1447.0     39.66     40.84     10.84
   9940    5709.0     44.70     45.46     11.95
   9943    1957.0     17.09     26.54     10.51
   9948    2527.0     11.24     11.32     11.63
   9975    9623.0      2.24      2.52     13.55
   9987    1107.0     12.28     13.31     11.75
   9990    6436.0      3.35      3.79     14.24
  10006    9441.0      3.97      4.37     14.43
  10042    4224.0      4.83      5.57     13.11
  10056    3830.0      2.57      3.31     11.46
  10133    1925.0      8.89     10.07     11.96
  10137    5253.0      4.69      5.34     13.64
  10286    9378.0      1.29      1.43     14.32
  10287    9104.0      1.27      1.46     12.15
  10296    9727.0      5.82      5.88     13.89
  10297    2306.0      3.42      4.17     13.29
  10328    1450.0     21.00     28.63     11.33
  10373    7679.0      3.47      3.79     14.06
  10394    5660.0      2.90      3.38     13.53
  10413    2990.0     12.76     16.61     13.06
  10416    6214.0      1.53      1.72     13.33
  10439    2370.0     20.20     26.86     10.68
  10442    5636.0     13.15     13.36     12.06
  10445     962.0     23.84     29.54     12.50
  10450    9776.0      0.58      0.64     14.62
  10458    5462.0      5.67      5.74     12.81
